Titles,Genre,Imdb_ratings,Tv-Ratings,runtime,Director,Years
Defiant,"Drama, Science-Fiction, Action & Adventure",4.7,N/A,1h 38min,N/A,2019
Finding Jesus,"Horror, Animation, Kids & Family, Fantasy, Mystery & Thriller",1.1,N/A,1h 9min,Jason Wright,2020
45 Days to Be Rich,Comedy,3.5,N/A,1h 14min,Hani Bay,2021
Darken,"Science-Fiction, Fantasy, Horror",4.2,N/A,1h 22min,Audrey Cummings,2017
Holiday Breakup,"Romance, Comedy",4.4,N/A,1h 28min,Temple Mathews,2016
A Deadly Legend,Horror,2.5,N/A,1h 20min,Pamela Moriarty,2020
Lansky,"Mystery & Thriller, Drama, Crime, History",6.2,R,1h 59min,Eytan Rockaway,2021
Home Sweet Hell,"Comedy, Drama, Mystery & Thriller, Crime",5.5,R,1h 38min,Anthony Burns,2015
After the Reign,,N/A,R,1h 25min,N/A,2020
Abe & Phil's Last Poker Game,"Drama, Comedy",5.7,R,1h 25min,Howard Weiner,2018
Hot Dog,"Comedy, Action & Adventure, Made in Europe",4.0,N/A,1h 40min,Torsten Künstler,2018
Toxic Shark,"Horror, Science-Fiction, Action & Adventure, Comedy, Drama, Mystery & Thriller",3.3,N/A,1h 28min,Cole Sharpe,2017
Dana Gould: I Know It's Wrong,"Comedy, Documentary",7.2,N/A,57min,Jay Chapman,2013
The Extraordinary Journey of the Fakir,"Drama, Comedy, Made in Europe",6.8,G,1h 32min,Ken Scott,2018
Jamie Marks Is Dead,"Mystery & Thriller, Drama, Fantasy",5.5,N/A,1h 41min,Carter Smith,2014
The Visit,"Drama, Comedy, Romance, Mystery & Thriller",6.2,N/A,2h 18min,Oyefunke Fayoyin,2015
Angel Azul,"Documentary, Drama",8.4,N/A,1h 14min,Marcy Cravat,2014
Maximum Impact,"Action & Adventure, Comedy",2.1,N/A,1h 50min,Andrzej Bartkowiak,2017
Age of Summer,"Romance, Drama, Comedy",5.5,N/A,1h 28min,N/A,2018
Giants Being Lonely,"Drama, Sport",5.2,N/A,1h 21min,Grear Patterson,2019
Beach House,"Mystery & Thriller, Action & Adventure",5.0,N/A,1h 27min,N/A,2017
Butterfly Kisses,"Horror, Documentary",5.9,N/A,1h 31min,Erik Kristopher Myers,2018
Kannadi,"Drama, Horror, Romance, Mystery & Thriller, Comedy",7.2,N/A,2h 15min,Caarthick Raju,2019
Jalsa,"Drama, Mystery & Thriller",6.6,N/A,2h 7min,Suresh Triveni,2022
Sasheer Zamata: Pizza Mind,Comedy,5.8,N/A,1h 13min,Chioke Nassor,2017
The Glass Castle,Drama,7.1,PG-13,2h 7min,Destin Daniel Cretton,2017
Distancing Socially,"Comedy, Drama, Romance",5.3,R,1h 37min,Chris Blake,2021
The Rainbow Bridge Motel,"Comedy, Romance",4.1,N/A,1h 30min,Scott Rubin,2018
Beware of Dog,Drama,6.2,N/A,1h 28min,Nadia Bedzhanova,2020
Alison,Documentary,7.5,PG-13,1h 20min,Uga Carlini,2016
The Gospel of Eureka,"Documentary, Music & Musical",6.3,N/A,1h 15min,Donal Mosher,2018
Café Society,"Comedy, Drama, Romance",6.6,PG-13,1h 37min,Woody Allen,2016
Alien Addiction,"Comedy, Science-Fiction, Drama",4.7,N/A,1h 30min,Shae Sterling,2018
Hillary: Ocean to Sky,Documentary,8.2,PG,1h 46min,Michael Dillon,2019
Manifest Destiny: The Lewis & Clark Musical Adventure,"Comedy, Western",7.3,N/A,1h 27min,Sami van Ingen,2016
Instant Death,Action & Adventure,4.2,N/A,1h 24min,Ara Paiaya,2017
Shortcut,"Action & Adventure, Fantasy, Horror, Made in Europe",4.1,R,1h 20min,Alessio Liguori,2020
Borrowed Future,Documentary,7.1,N/A,1h 24min,N/A,2021
Heal,"Documentary, Made in Europe",7.0,N/A,1h 48min,Kelly Noonan,2017
Master,"Mystery & Thriller, Action & Adventure, Crime",7.3,PG,2h 59min,Lokesh Kanagaraj,2021
The Moment,Mystery & Thriller,4.9,N/A,1h 30min,Jane Weinstock,2013
Amanda & Jack Go Glamping,"Drama, Comedy, Romance",4.5,PG-13,1h 34min,Brandon Dickerson,2017
Sold,Drama,6.8,N/A,1h 37min,Kait Bell,2016
Brand New Old Love,"Comedy, Drama, Romance",4.8,N/A,1h 37min,Cat Rhinehart,2017
The Culture High,"Documentary, Made in Europe",8.2,N/A,2h 0min,Brett Harvey,2014
At Granny's House,Mystery & Thriller,4.8,N/A,1h 23min,Les Mahoney,2015
Seeking Dolly Parton,"Drama, Comedy, Romance",5.5,N/A,1h 37min,Michael Worth,2015
The Source Family,"Documentary, Music & Musical",6.8,N/A,1h 38min,Maria Demopoulos,2013
Kotigobba 3,"Mystery & Thriller, Action & Adventure, Drama, Romance",5.6,N/A,2h 20min,Shiva Karthik,2021
I Am Dragon,"Fantasy, Romance, Made in Europe",6.8,N/A,1h 50min,Indar Dzhendubaev,2015
The Hungry,Drama,7.1,N/A,1h 40min,Bornila Chatterjee,2017
The Enigma of Arrival,"Mystery & Thriller, Drama",7.1,N/A,1h 54min,Song Wen,2020
The Canyonlands,Horror,3.2,N/A,1h 39min,Brendan Devane,2021
Sher Shivraj,"Drama, Action & Adventure, History",8.3,N/A,2h 32min,Digpal Lanjekar,2022
The Choice,"Romance, Drama, Comedy, Made in Europe",6.5,N/A,1h 51min,Ross Katz,2016
The Woman in Black 2: Angel of Death,"Drama, Mystery & Thriller, Horror",4.8,PG-13,1h 38min,Tom Harper,2014
Prassthanam,"Action & Adventure, Drama",5.8,N/A,2h 21min,Katta Deva,2019
The Miracle of Life,"Horror, Drama, Comedy, Made in Europe",5.1,N/A,1h 24min,Yvos Sondermeier,2013
Shake Off the World,"Drama, Comedy, Kids & Family",4.7,N/A,1h 21min,Chuck Williams,2016
Todd Glass Talks About Stuff,Comedy,N/A,N/A,46min,Jay Chapman,2013
Uncle Frank,"Drama, Comedy",7.3,R,1h 35min,Alan Ball,2020
Everybody's Talking About Jamie,"Drama, Comedy",6.5,PG-13,1h 55min,Jonathan Butterell,2021
Pacto de Fuga,"Drama, Mystery & Thriller, Action & Adventure",6.9,PG,2h 18min,David Albala,2020
4/20 Massacre,"Horror, Action & Adventure",3.8,NC-17,1h 24min,Dylan Reynolds,2018
Ryan James: I'm Fine,Comedy,7.9,N/A,1h 17min,Ryan James,2021
Mystery Road,"Mystery & Thriller, Drama, Crime",6.6,N/A,1h 58min,Ivan Sen,2013
The Invisibles,"Drama, Documentary, History, War & Military, Made in Europe",7.2,N/A,1h 50min,Claus Räfle,2017
Coming Through the Rye,"Drama, History",6.3,PG-13,1h 37min,James Steven Sadwith,2016
Monochrome,"Mystery & Thriller, Drama",5.0,N/A,1h 53min,Thomas Lawes,2016
Road Head,"Comedy, Horror",5.0,N/A,1h 24min,David Del Rio,2021
Crazy Kind of Love,"Drama, Romance, Comedy",5.9,R,1h 40min,Sarah Siegel-Magness,2013
Disappearance,"Kids & Family, Romance, Documentary, Drama, Mystery & Thriller",3.4,N/A,24min,Matt Shapira,2019
The Night Eats the World,"Drama, Horror, Mystery & Thriller, Made in Europe",6.0,N/A,1h 34min,Dominique Rocher,2018
Jon Reep: Ginger Beard Man,Comedy,7.0,N/A,1h 3min,John Asher,2017
Borat Subsequent Moviefilm,Comedy,6.6,R,1h 36min,Jason Woliner,2020
Thy Neighbor,"Mystery & Thriller, Drama",4.6,N/A,1h 39min,George A. Johnson,2018
The Aeronauts,"Drama, Romance, Mystery & Thriller, Action & Adventure",6.6,PG-13,1h 41min,Tom Harper,2019
Driver,"Drama, Crime",4.1,N/A,1h 19min,N/A,2018
As the Village Sleeps,"Horror, Mystery & Thriller",2.6,N/A,1h 22min,N/A,2021
Zakir Khan: Kaksha Gyarvi,Comedy,8.3,N/A,1h 14min,Angshuman Ghosh,2018
Hansan: Rising Dragon,"Drama, History, War & Military, Action & Adventure",6.6,N/A,2h 10min,Kim Han-min,2022
Perfumes,"Comedy, Drama, Made in Europe",6.6,PG-13,1h 40min,Grégory Magne,2020
And Then We Danced,"Drama, Romance, Made in Europe",7.6,N/A,1h 53min,Levan Akin,2019
After She Wakes,"Horror, Mystery & Thriller",4.1,R,1h 18min,N/A,2019
Avenge the Crows,"Drama, Mystery & Thriller, Crime",5.2,N/A,1h 36min,Nathan Gabaeff,2017
Kill for Me,"Drama, Mystery & Thriller",N/A,N/A,1h 35min,Michael Greenspan,2013
Meteor Moon,"Action & Adventure, Science-Fiction",2.4,PG,1h 28min,Brian Nowak,2020
I Hate Kids,Comedy,5.0,PG-13,1h 29min,John Asher,2019
Kadaram Kondan,"Action & Adventure, Crime, Mystery & Thriller",5.6,N/A,2h 1min,Rajesh M. Selva,2019
Intensive Care,"Action & Adventure, Comedy, Mystery & Thriller",4.0,N/A,1h 20min,Jared Bentley,2018
Goblin,"Horror, Mystery & Thriller",4.1,N/A,1h 12min,Chris Lee,2020
Hearts and Bones,Drama,6.6,N/A,1h 51min,Ben Lawrence,2019
Say Yes,Drama,6.5,N/A,1h 34min,Stewart Wade,2018
No Way Out,"Mystery & Thriller, Horror, Drama",2.1,N/A,1h 20min,Joe Hamilton,2020
Officer,"Action & Adventure, Crime",3.2,N/A,1h 49min,Ram Gopal Varma,2018
Delinquent,"Drama, Kids & Family, Mystery & Thriller, Crime",5.8,N/A,1h 37min,Kieran Valla,2016
K.G.F: Chapter 2,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.3,N/A,2h 48min,Prashanth Neel,2022
Wolf Creek 2,"Horror, Mystery & Thriller, Action & Adventure",6.1,N/A,1h 46min,Greg McLean,2013
Tomorrow is Today,Comedy,5.4,N/A,1h 48min,Nacho G. Velilla,2022
Georgetown,"Drama, Crime",6.2,R,1h 39min,Christoph Waltz,2019
Tranquillo,"Drama, Made in Europe",6.1,N/A,1h 11min,Jonathan Jäggi,2018
Luxor,"Drama, Romance",5.3,N/A,1h 25min,Zeina Durra,2020
Brittany Runs a Marathon,"Drama, Comedy",6.8,R,1h 43min,N/A,2019
Await Further Instructions,"Horror, Science-Fiction",4.9,R,1h 31min,Johnny Kevorkian,2018
Close Range,"Action & Adventure, Crime, Mystery & Thriller",5.1,N/A,1h 25min,Isaac Florentine,2015
Manikarnika: The Queen of Jhansi,"Drama, History, Action & Adventure",6.4,N/A,2h 28min,Kangana Ranaut,2019
Breeder,"Horror, Mystery & Thriller",5.1,N/A,1h 47min,Jens Dahl,2020
Golmaal Again,"Comedy, Horror, Action & Adventure, Fantasy",4.9,N/A,2h 31min,Rohit Shetty,2017
Virus,"Drama, Mystery & Thriller",7.9,N/A,2h 32min,Aashiq Abu,2019
The Ultimate Legacy,"Drama, Kids & Family, Comedy",5.9,PG,1h 30min,JoAnne Hock,2015
Batla House,"Drama, Action & Adventure, Crime, History, Mystery & Thriller",7.2,N/A,2h 26min,Nikkhil Advani,2019
The Legend of Ben Hall,"Western, Drama, History, Action & Adventure",5.8,N/A,2h 14min,N/A,2016
Shark Huntress,"Horror, Science-Fiction, Action & Adventure, Mystery & Thriller",1.6,N/A,1h 22min,John Riggins,2021
Untrapped: The Story of Lil Baby,"Music & Musical, Documentary",6.5,R,1h 30min,Karam Gill,2022
Love Sarah,"Drama, Romance, Comedy",6.1,N/A,1h 37min,Eliza Schroeder,2020
Nowitzki: The Perfect Shot,"Documentary, Made in Europe, Sport",7.5,N/A,1h 46min,Sebastian Dehnhardt,2014
Extracurricular Activities,"Drama, Comedy, Mystery & Thriller",6.2,N/A,1h 26min,Jay Lowi,2019
Mitron,Comedy,6.9,N/A,1h 59min,Nitin Kakkar,2018
Outcast,"Action & Adventure, Drama, Mystery & Thriller, Made in Europe",4.6,N/A,1h 38min,Nick Powell,2014
Sinful,Mystery & Thriller,3.1,N/A,1h 14min,Rich Mallery,2020
The Divorce Party,"Comedy, Kids & Family, Romance",5.1,N/A,1h 34min,N/A,2019
Ghajinikanth,"Kids & Family, Comedy, Romance",5.5,N/A,2h 27min,Santhosh P. Jayakumar,2018
Out of the Wild,"Western, Drama, Romance, Horror, Crime",6.5,N/A,1h 38min,Paul Krizan,2017
Hickey,Comedy,4.0,N/A,1h 25min,Alex Grossman,2017
Juvenile Delinquents,Drama,6.2,R,1h 58min,Neil Goss,2020
Tatu,Action & Adventure,4.2,N/A,1h 41min,Don Omope,2017
To Let,"Drama, Kids & Family, Comedy",7.9,N/A,1h 49min,Chezhian Ra,2019
My Beautiful Bride,"Drama, Mystery & Thriller",4.5,N/A,1h 25min,Chadney Cooles,2021
Runner,Drama,5.0,N/A,1h 33min,N/A,2018
Gringo,"Action & Adventure, Crime, Drama, Comedy, Made in Europe",6.1,R,1h 51min,Nash Edgerton,2018
I'm Your Woman,"Drama, Crime",6.2,R,2h 0min,Julia Hart,2020
Brothers,"Drama, Kids & Family, Action & Adventure, Sport",6.4,PG-13,2h 36min,Karan Malhotra,2015
Wildlike,"Drama, Mystery & Thriller",6.6,N/A,1h 44min,Frank Hall Green,2015
Chalk It Up,Comedy,4.5,N/A,1h 30min,Hisonni Johnson,2016
From Zero to I Love You,"Romance, Drama",6.2,N/A,1h 46min,Doug Spearman,2019
Maja Ma,"Comedy, Drama, Kids & Family",6.1,N/A,2h 14min,Anand Tiwari,2022
Agent Revelation,"Action & Adventure, Science-Fiction, Mystery & Thriller",3.6,N/A,1h 26min,Derek Ting,2021
Steve-O: Guilty as Charged,Comedy,6.2,R,50min,Samuel Brownfield,2016
Escape and Evasion,"Drama, War & Military",4.6,N/A,1h 32min,Storm Ashwood,2019
Black Fox: Age of the Ninja,"Fantasy, Action & Adventure, Drama",4.9,N/A,1h 32min,Koichi Sakamoto,2019
Mister Mayfair,"Mystery & Thriller, Action & Adventure, Crime, Comedy",6.2,N/A,1h 30min,N/A,2021
Land Shark,"Mystery & Thriller, Horror, Comedy, Science-Fiction, Action & Adventure",2.3,N/A,1h 20min,Mark Polonia,2017
Little White Lie,"Documentary, Drama, Kids & Family",7.2,PG-13,1h 6min,Lacey Schwartz Delgado,2014
Our Father,"Comedy, Drama, Documentary",5.4,N/A,1h 36min,Anthony Carniello,2021
Jackpot,"Action & Adventure, Comedy",5.2,N/A,2h 22min,Kalyan,2019
37-Teen,Comedy,4.4,N/A,1h 32min,Miles Forster,2019
Brother's Day,"Action & Adventure, Comedy, Romance, Mystery & Thriller",4.4,N/A,2h 45min,Kalabhavan Shajon,2019
Call Time The Finale,"Mystery & Thriller, Horror",2.6,N/A,1h 34min,Derrick Hammond,2021
The Three Wise Kings vs. Santa,"Comedy, Action & Adventure",5.2,N/A,1h 46min,Paco Caballero,2022
10 Days In Sun City,"Comedy, Romance",5.3,N/A,1h 27min,Adze Ugah,2017
A Year in Port,"Documentary, Made in Europe",6.9,N/A,1h 26min,David Kennard,2016
Expiry,Science-Fiction,3.6,N/A,1h 25min,Tom Gatley,2021
DannyBoy,"Comedy, Drama, Romance",6.8,N/A,1h 37min,Ferdia MacAnna,2021
Decoding COVID-19,Documentary,N/A,N/A,53min,Sarah Holt,2020
The Pit,"Documentary, Mystery & Thriller, Made in Europe",3.3,N/A,1h 30min,Hristiana Raykova,2019
Swiped,"Drama, Comedy, Romance",2.8,N/A,1h 33min,Ann Deborah Fishman,2018
The Special,"Horror, Comedy",4.9,N/A,1h 34min,Harrison Smith,2020
The Legend of Halloween Jack,"Horror, Mystery & Thriller",3.4,R,1h 30min,Andrew Jones,2018
Sardar Udham,"Crime, Drama, History",8.4,R,2h 43min,Shoojit Sircar,2021
The Beyond,"Science-Fiction, Drama",4.9,N/A,1h 32min,Hasraf Dulull,2018
The Gateway,Science-Fiction,5.4,N/A,1h 30min,John V. Soto,2018
Meet My Valentine,"Romance, Drama, Comedy",6.2,N/A,1h 30min,Brian Herzlinger,2015
The Year of Spectacular Men,"Drama, Comedy, Romance",5.6,N/A,1h 42min,Lea Thompson,2018
Dorfman in Love,"Comedy, Drama, Romance",6.0,PG-13,1h 32min,Brad Leong,2013
Taken Heart,"Action & Adventure, Mystery & Thriller, Crime, Drama",4.1,N/A,1h 29min,Steven R. Monroe,2017
Deep Murder,"Horror, Comedy",4.3,R,1h 35min,Nick Corirossi,2019
Kindness Matters,Kids & Family,6.6,N/A,1h 42min,Craig McMahon,2018
Making a Killing,"Drama, Mystery & Thriller, Crime",5.1,R,1h 46min,N/A,2018
Girls' Encounter,Drama,6.4,N/A,1h 41min,Yûka Eda,2018
Climate of the Hunter,"Drama, Horror, Mystery & Thriller",5.3,N/A,1h 22min,Mickey Reece,2021
Hellbox,Horror,2.7,N/A,2h 0min,David Scott,2021
Naradan,"Mystery & Thriller, Drama",6.1,N/A,2h 30min,Aashiq Abu,2022
The Cokeville Miracle,"Drama, Mystery & Thriller, Kids & Family, History",5.4,PG-13,1h 34min,T.C. Christensen,2015
We Love Paleo,Documentary,6.4,N/A,1h 33min,Caroleen Moise,2016
Bhaskar Oru Rascal,"Comedy, Action & Adventure, Drama, Kids & Family",4.9,N/A,2h 30min,Siddique,2018
Bryan Callen: Never Grow Up,Comedy,6.8,N/A,57min,N/A,2016
Doblemente Embarazada 2,Comedy,4.5,N/A,1h 39min,Koko Stambuk,2022
Lisa Lampanelli: Back to the Drawing Board,"Comedy, Documentary",6.2,R,1h 0min,Jay Chapman,2015
Burn,"Mystery & Thriller, Comedy, Crime",5.7,R,1h 29min,Mike Gan,2019
Fern Brady: Power & Chaos,Comedy,6.9,N/A,55min,N/A,2021
Infinity Chamber,"Mystery & Thriller, Science-Fiction",6.2,N/A,1h 43min,Travis Milloy,2016
The Snow Queen 2: Refreeze,"Animation, Fantasy, Comedy, Kids & Family",5.8,PG,1h 18min,Aleksey Tsitsilin,2014
Sultan,"Drama, Sport, Action & Adventure",7.0,N/A,2h 50min,Ali Abbas Zafar,2016
American Hero,"Action & Adventure, Comedy, Science-Fiction, Music & Musical, Drama",5.0,R,1h 26min,Nick Love,2015
All Summers End,"Drama, Romance",6.1,N/A,1h 22min,Kyle Wilamowski,2017
Line Walker,"Action & Adventure, Crime, Drama, Mystery & Thriller",6.0,N/A,1h 48min,Jazz Boon,2016
Yardie,"Crime, Drama",5.8,N/A,1h 41min,Idris Elba,2018
Trickster,"Mystery & Thriller, Horror",3.4,N/A,1h 19min,Jamie Paolinetti,2018
American Exorcist,"Horror, Comedy",2.9,N/A,1h 30min,Johnny Zito,2018
Nerdland,"Animation, Comedy, Crime",5.3,N/A,1h 23min,Chris Prynoski,2016
Butterfly Caught,Drama,4.8,N/A,1h 48min,Manny Rodriguez Jr.,2017
CTRL,"Horror, Science-Fiction, Mystery & Thriller",2.8,N/A,1h 20min,N/A,2018
Atone,"Action & Adventure, Mystery & Thriller",3.2,N/A,1h 29min,Wes Miller,2019
Frank and Ava,"Drama, History",3.6,N/A,1h 50min,Michael Oblowitz,2020
Living Space,"Horror, Drama",3.3,N/A,1h 20min,N/A,2018
The Believer,"Horror, Crime",3.9,N/A,1h 31min,Shan Serafin,2021
Gold Statue,"Comedy, Drama",6.5,N/A,2h 25min,Tade Ogidan,2019
Last Summer,Drama,6.1,N/A,1h 37min,Jon Jones,2018
Missing 411: The Hunted,Documentary,7.0,N/A,1h 37min,Michael DeGrazier,2019
Jane and Emma,Drama,6.4,PG,1h 30min,Chantelle Squires,2018
Big Brother,"Drama, Comedy, Action & Adventure",6.3,PG,1h 41min,Kam Ka-Wai,2018
Annette,"Drama, Romance",6.4,R,2h 21min,Leos Carax,2021
Firebird,"Drama, Romance, War & Military",7.1,R,1h 47min,Peeter Rebane,2021
Zoombies,"Action & Adventure, Horror, Science-Fiction, Comedy, Mystery & Thriller",3.3,N/A,1h 27min,Glenn Miller,2016
100 Days,"Romance, Drama, Comedy",7.1,N/A,1h 44min,N/A,2013
Justin Bieber: Our World,"Music & Musical, Documentary",4.8,PG,1h 34min,Michael D. Ratner,2021
Shayne Smith: Prison for Wizards,Comedy,N/A,PG,40min,N/A,2018
The Space Between,"Comedy, Drama",5.5,R,1h 39min,Rachel Winter,2021
Debug,"Horror, Science-Fiction",4.3,PG-13,1h 26min,David Hewlett,2014
Merry Kissmas,"Drama, Comedy, Romance",5.3,N/A,1h 29min,Michael Feifer,2015
Achmed Saves America,Animation,N/A,N/A,1h 0min,Frank Marino,2014
An English Haunting,Horror,4.3,PG-13,1h 29min,Charlie Steeds,2020
Saturday Church,"Fantasy, Romance, Drama, Music & Musical",6.4,N/A,1h 22min,Damon Cardasis,2017
Pushpa: The Rise - Part 1,"Drama, Mystery & Thriller, Action & Adventure, Crime",7.6,N/A,2h 59min,Sukumar,2021
Skydog,"Kids & Family, Mystery & Thriller",3.3,N/A,1h 49min,Tim Kaiser,2020
After the Screaming Stops,"Music & Musical, Documentary",7.1,N/A,1h 38min,Joe Pearlman,2018
Bullitt County,"Drama, Mystery & Thriller, Action & Adventure",4.8,N/A,1h 38min,David McCracken,2018
Doug Stanhope: Beer Hall Putsch,"Comedy, Documentary",7.6,N/A,1h 0min,Jay Karas,2013
Pailwaan,"Drama, Sport, Action & Adventure",6.2,N/A,2h 46min,S. Krishna,2019
Lockdown: 2025,"Mystery & Thriller, Science-Fiction",2.5,N/A,1h 30min,Michael Sean Hall,2021
No Alternative,Drama,6.0,N/A,1h 37min,William Dickerson,2018
Raatchasi,"Mystery & Thriller, Drama",7.4,G,2h 33min,Sy Gowtham Raj,2019
Hideout,"Crime, Horror, Mystery & Thriller",4.3,R,1h 54min,Kris Roselli,2021
Faith's Song,Drama,4.0,N/A,1h 43min,Frankie Hutto,2017
Time Is Up,"Romance, Drama",4.2,N/A,1h 48min,Elisa Amoruso,2021
I Dream Too Much,"Drama, Comedy",5.2,N/A,1h 31min,Katie Cokinos,2016
Women,"Mystery & Thriller, Drama, Crime",4.3,R,1h 30min,Karin Fisslthaler,2021
When Love Happens,Romance,4.8,N/A,1h 49min,Seyi Babatope,2014
Homeless,Drama,6.5,N/A,1h 32min,Clay Riley Hassler,2015
Broken Mile,"Mystery & Thriller, Drama, Crime",4.1,N/A,1h 20min,Justin McConnell,2017
Catching the Black Widow,"Drama, Crime",6.2,N/A,1h 32min,Thomas Robins,2017
Final Stop,Mystery & Thriller,N/A,N/A,1h 28min,N/A,2021
Antariksham 9000 KMPH,"Mystery & Thriller, Science-Fiction, Drama",5.9,N/A,2h 20min,Sankalp Reddy,2018
Becoming the G.O.A.T.: The Tom Brady Story,Documentary,4.3,N/A,1h 7min,Johannes Guttenkunst,2021
A Rainy Day in New York,"Romance, Comedy",6.5,PG-13,1h 35min,Woody Allen,2019
Kaufman's Game,"Mystery & Thriller, Crime",3.9,N/A,1h 29min,N/A,2017
Assassination,"Mystery & Thriller, Drama, Action & Adventure",7.2,N/A,2h 20min,Choi Dong-hoon,2015
New Chefs on the Block,Documentary,7.8,N/A,1h 36min,Dustin Harrison-Atlas,2016
One Child Nation,"Documentary, History",7.5,R,1h 28min,Zhang Jialing,2019
Brotherhood of Blades II: The Infernal Battlefield,"Drama, Mystery & Thriller, Action & Adventure, History",6.6,N/A,2h 0min,Lu Yang,2017
Newton,"Drama, Comedy",7.6,N/A,1h 46min,Amit Masurkar,2017
Bunnyman Vengeance,Horror,3.0,N/A,1h 48min,Carl Lindbergh,2017
Section 375,"Mystery & Thriller, Crime, Drama",8.1,N/A,2h 4min,Ajay Bahl,2019
Josie & Jack,Drama,4.7,N/A,1h 43min,Sarah Lancaster,2019
Terror Birds,"Horror, Science-Fiction, Mystery & Thriller, Action & Adventure, Comedy",3.5,N/A,1h 24min,Sean Cain,2016
Sharmaji Namkeen,"Comedy, Drama, Kids & Family",7.6,N/A,1h 59min,N/A,2022
Gulabo Sitabo,"Comedy, Drama",6.3,N/A,2h 4min,Shoojit Sircar,2020
Delivery: The Beast Within,"Mystery & Thriller, Horror",5.3,N/A,1h 27min,Brian Netto,2013
Deadly Exposé,Mystery & Thriller,3.8,N/A,1h 27min,Chris Jaymes,2017
The Bronx Bull,"Drama, Sport",4.7,R,1h 34min,Martin Guigui,2016
Ayogya,Drama,N/A,N/A,2h 30min,N/A,2019
7 Chinese Brothers,Comedy,5.6,N/A,1h 15min,Bob Byington,2015
Ambili,"Comedy, Drama",7.0,N/A,2h 20min,Johnpaul George,2019
COIN,Documentary,5.9,N/A,1h 26min,Greg Kohs,2022
Jeremy Scott: The People's Designer,Documentary,6.4,PG-13,1h 50min,Vlad Yudin,2015
Cruiser,"Horror, Mystery & Thriller, Drama",4.9,N/A,1h 13min,Felix Bartke,2020
Touch Chesi Chudu,"Action & Adventure, Comedy, Crime",4.7,G,2h 0min,Vikram Sirikonda,2018
Stray Dogs,Mystery & Thriller,5.8,N/A,1h 24min,Adam Gascho,2020
Vellai Pookal,"Drama, Mystery & Thriller, Crime",7.1,PG,2h 10min,Vivek Elangovan,2019
My Spy,"Kids & Family, Action & Adventure, Comedy",6.3,PG-13,1h 39min,Peter Segal,2020
I'm in Love with a Church Girl,"Drama, Crime, Romance",4.2,PG,1h 58min,Steve Race,2013
Monstruo,Documentary,6.2,N/A,1h 13min,Lucas Quintana,2018
Death by a Thousand Cuts,Documentary,7.5,N/A,1h 13min,Jake Kheel,2016
Riverhead,"Crime, Drama",5.1,N/A,1h 29min,Justin Oakey,2016
Romeo & Juliet,"Drama, Romance, Made in Europe",5.8,PG-13,1h 58min,Carlo Carlei,2013
A Brilliant Young Mind,"Drama, Romance",7.1,N/A,1h 51min,Morgan Matthews,2014
Arkansas,"Mystery & Thriller, Crime, Drama",6.0,R,1h 55min,Clark Duke,2020
33 & Beyond: The Royal Art of Freemasonry,Documentary,5.7,N/A,1h 30min,Johnny Royal,2017
The Lazarus Effect,"Horror, Mystery & Thriller, Science-Fiction",5.2,PG-13,1h 23min,David Gelb,2015
A Snow Capped Christmas,"Drama, Sport, Romance",6.3,N/A,1h 27min,Christie Will,2016
Sharkwater Extinction,Documentary,7.6,N/A,1h 30min,Rob Stewart,2018
The Wave,"Science-Fiction, Mystery & Thriller",6.1,R,1h 27min,Gille Klabin,2019
HIT: The 2nd Case,"Mystery & Thriller, Action & Adventure, Crime, Drama",7.2,N/A,2h 30min,Sailesh Kolanu,2022
Consumed,"Mystery & Thriller, Drama, Animation",5.6,N/A,1h 38min,Daryl Wein,2015
Saving Christmas,"Comedy, Kids & Family",1.3,PG,1h 19min,Darren Doane,2014
The Gracefield Incident,"Horror, Science-Fiction, Mystery & Thriller, Action & Adventure",4.2,PG-13,1h 35min,Mathieu Ratthe,2017
A Death in the Gunj,"Drama, Mystery & Thriller",7.5,N/A,1h 50min,Konkona Sen Sharma,2017
The Terrible Adventure,"Comedy, Action & Adventure, Kids & Family",4.6,N/A,1h 33min,Kel Thompson,2021
Home Is Where The Killer Is,Mystery & Thriller,N/A,N/A,1h 27min,Kaila York,2019
Tucked,Drama,6.8,N/A,1h 20min,Jamie Patterson,2019
Beyond the Woods,"Horror, Drama, Made in Europe",4.5,N/A,1h 24min,Sean Breathnach,2018
Thirst Street,"Drama, Mystery & Thriller, Comedy, Romance, Made in Europe",5.8,N/A,1h 23min,Nathan Silver,2018
Joe's War,Drama,3.9,N/A,1h 47min,N/A,2017
Just a Sigh,"Drama, Romance, Made in Europe",6.4,PG-13,1h 44min,Jérôme Bonnell,2013
Ashiap Man,"Action & Adventure, Comedy, Drama, Fantasy, Science-Fiction",2.8,N/A,1h 42min,Atta Halilintar,2022
Fraud Saiyyan,"Drama, Comedy",4.2,N/A,1h 49min,Sourabh Shrivastava,2019
A Year in Burgundy,"Documentary, Drama, Kids & Family, History",6.9,N/A,1h 28min,David Kennard,2013
Encounter,"Mystery & Thriller, Drama, Science-Fiction",5.9,R,1h 48min,Michael Pearce,2021
"Hold Fast, Good Luck","Drama, Romance",5.3,N/A,1h 25min,N/A,2020
Ente Ummante Peru,"Drama, Comedy",6.7,N/A,2h 8min,Jose Sebastian,2018
